Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type

1,GB,10,2019,32,M,false,JMC,JANUARY,2023,Lecture 14
1,GB,10,2019,32,M,false,PYC,JULY,2020,Lecture 8
2,US,8,2017,21,F,true,JMC,OCTOBER,2021,Lecture 10
2,US,8,2017,21,F,true,PYC,OCTOBER,2023,Lecture 6
3,US,8,2023,40,M,true,JMC,AUGUST,2024,Lecture 11
3,US,8,2023,40,M,true,PYC,SEPTEMBER,2023,Lecture 14
4,CN,1,2024,35,F,false,JMC,JANUARY,2024,Lecture 10
4,CN,1,2024,35,F,false,PYC,MARCH,2024,Lecture 2
5,US,1,2018,86,U,false,JMC,JULY,2021,Lecture 4
5,US,1,2018,86,U,false,PYC,JUNE,2024,Lecture 2
6,CN,5,2015,50,U,false,JMC,AUGUST,2017,Lecture 5
6,CN,5,2015,50,U,false,PYC,FEBRUARY,2024,Lecture 6
7,AU,1,2019,32,F,false,JMC,JANUARY,2021,Lecture 12
7,AU,1,2019,32,F,false,PYC,MARCH,2022,Lecture 6
8,GB,1,2017,89,F,false,JMC,NOVEMBER,2020,Lecture 3
8,GB,1,2017,89,F,false,PYC,JULY,2017,Lecture 7
9,IN,7,2020,68,F,true,JMC,SEPTEMBER,2022,Lecture 12
9,IN,7,2020,68,F,true,PYC,SEPTEMBER,2023,Lecture 3
10,AU,2,2024,48,M,true,JMC,JANUARY,2024,Lecture 8
10,AU,2,2024,48,M,true,PYC,JANUARY,2024,Lecture 8
11,AU,2,2024,53,F,false,JMC,FEBRUARY,2024,Lecture 14
11,AU,2,2024,53,F,false,PYC,FEBRUARY,2024,Lecture 5
12,IN,1,2022,27,U,true,JMC,AUGUST,2022,Lecture 4
12,IN,1,2022,27,U,true,PYC,JUNE,2022,Lecture 10
13,IN,2,2022,85,U,false,JMC,DECEMBER,2023,Lecture 14
13,IN,2,2022,85,U,false,PYC,JULY,2024,Lecture 6
14,AU,11,2021,73,M,true,JMC,JULY,2022,Lecture 2
14,AU,11,2021,73,M,true,PYC,DECEMBER,2023,Lecture 8
15,GB,3,2017,87,U,true,JMC,MAY,2021,Lecture 3
15,GB,3,2017,87,U,true,PYC,JANUARY,2019,Lecture 14
16,US,2,2022,40,M,false,JMC,JANUARY,2024,Lecture 8
16,US,2,2022,40,M,false,PYC,MARCH,2023,Lecture 7
17,AU,5,2019,38,M,false,JMC,JULY,2024,Lecture 4
17,AU,5,2019,38,M,false,PYC,SEPTEMBER,2022,Lecture 13
18,GB,10,2017,38,M,false,JMC,NOVEMBER,2017,Lecture 5
18,GB,10,2017,38,M,false,PYC,MAY,2017,Lecture 12
19,IN,3,2016,32,M,false,JMC,JANUARY,2017,Lecture 5
19,IN,3,2016,32,M,false,PYC,DECEMBER,2017,Lecture 13
20,AU,5,2021,64,U,true,JMC,DECEMBER,2024,Lecture 10
20,AU,5,2021,64,U,true,PYC,MAY,2023,Lecture 5
21,GB,7,2023,80,U,false,JMC,JANUARY,2024,Lecture 11
21,GB,7,2023,80,U,false,PYC,MARCH,2023,Lecture 13
22,CN,11,2020,32,U,false,JMC,JULY,2021,Lecture 11
22,CN,11,2020,32,U,false,PYC,SEPTEMBER,2024,Lecture 2
23,AU,8,2021,79,M,true,JMC,SEPTEMBER,2024,Lecture 11
23,AU,8,2021,79,M,true,PYC,APRIL,2022,Lecture 6
24,GB,8,2024,60,M,true,JMC,APRIL,2024,Lecture 13
24,GB,8,2024,60,M,true,PYC,JUNE,2024,Lecture 3
25,IN,11,2023,56,F,true,JMC,DECEMBER,2023,Lecture 6
25,IN,11,2023,56,F,true,PYC,AUGUST,2024,Lecture 6
